Sequence number	Sequence name	Sequence	Python code	Obfuscated Python code
A000006	Integer part of square root of n-th prime.	1,1,2,2,3,3,4,4,4,5,5,6,6,6,6,7,7,7,8,8,8,8,9,9,9,10,10,10,10,10,11,11,11,11,12,12,12,12,12,13,13,13,13,13,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,16,17,17,17,17,17,18,18,18,18,18	"
from sympy import sieve
A000006 = lambda n: int(sieve[n]**.5)
print([A000006(n) for n in range(1,100+1)])

"	"from sympy import sieve
A000006 = lambda n: int(sieve[n] ** 0.5)
print([A000006(n) for n in range(1, 100 + 1)])"	"from sympy import sieve
A000006 = lambda n: int(sieve[n] ** 0.5)
print([A000006(n) for n in range(1, 100 + 1)])"	"from sympy import sieve
A000006 = lambda n: int(sieve[n] ** 0.5)
print([A000006(n) for n in range(1, 100 + 1)])"	"from sympy import sieve
A000006 = lambda n: int(sieve[n] ** 0.5)
print([A000006(n) for n in range(1, 100 + 1)])"	"from sympy import sieve
A000006 = lambda n: int(sieve[n] ** 0.5)
print([A000006(n) for n in range(1, 100 + 1)])"
A002113	Palindromes in base 10.	0,1,2,3,4,5,6,7,8,9,11,22,33,44,55,66,77,88,99,101,111,121,131,141,151,161,171,181,191,202,212,222,232,242,252,262,272,282,292,303,313,323,333,343,353,363,373,383,393,404,414,424,434,444,454,464,474,484,494,505,515	"
from itertools import chain, count
A002113 = chain(k for k in count(0) if str(k) == str(k)[::-1])
print([next(A002113) for k in range(60)]) 
"	"from itertools import chain, count
A002113 = chain((k for k in count(0) if str(k) == str(k)[::-1]))
print([next(A002113) for k in range(60)])"	"from itertools import chain, count
A002113 = chain((k for k in count(0) if str(k) == str(k)[::-1]))
print([next(A002113) for k in range(60)])"	"from itertools import chain, count
A002113 = chain((k for k in count(0) if str(k) == str(k)[::-1]))
print([next(A002113) for k in range(60)])"	"from itertools import chain, count
A002113 = chain((k for k in count(0) if str(k) == str(k)[::-1]))
print([next(A002113) for k in range(60)])"	"from itertools import chain, count
A002113 = chain((k for k in count(0) if str(k) == str(k)[::-1]))
print([next(A002113) for k in range(60)])"
A002385	Palindromic primes: prime numbers whose decimal expansion is a palindrome.	2,3,5,7,11,101,131,151,181,191,313,353,373,383,727,757,787,797,919,929,10301,10501,10601,11311,11411,12421,12721,12821,13331,13831,13931,14341,14741,15451,15551,16061,16361,16561,16661,17471,17971,18181	"
from itertools import chain
from sympy import isprime
A002385 = sorted((n for n in chain((int(str(x)+str(x)[::-1]) for x in range(1,10**5)),(int(str(x)+str(x)[-2::-1]) for x in range(1,10**5))) if isprime(n))) 
"	"from itertools import chain
from sympy import isprime
A002385 = sorted((n for n in chain((int(str(x) + str(x)[::-1]) for x in range(1, 10 ** 5)), (int(str(x) + str(x)[-2::-1]) for x in range(1, 10 ** 5))) if isprime(n)))"	"from itertools import chain
from sympy import isprime
A002385 = sorted((n for n in chain((int(str(x) + str(x)[::-1]) for x in range(1, 10 ** 5)), (int(str(x) + str(x)[-2::-1]) for x in range(1, 10 ** 5))) if isprime(n)))"	"from itertools import chain
from sympy import isprime
A002385 = sorted((n for n in chain((int(str(x) + str(x)[::-1]) for x in range(1, 10 ** 5)), (int(str(x) + str(x)[-2::-1]) for x in range(1, 10 ** 5))) if isprime(n)))"	"from itertools import chain
from sympy import isprime
A002385 = sorted((n for n in chain((int(str(x) + str(x)[::-1]) for x in range(1, 10 ** 5)), (int(str(x) + str(x)[-2::-1]) for x in range(1, 10 ** 5))) if isprime(n)))"	"from itertools import chain
from sympy import isprime
A002385 = sorted((n for n in chain((int(str(x) + str(x)[::-1]) for x in range(1, 10 ** 5)), (int(str(x) + str(x)[-2::-1]) for x in range(1, 10 ** 5))) if isprime(n)))"
A002407	Cuban primes: primes which are the difference of two consecutive cubes.	7,19,37,61,127,271,331,397,547,631,919,1657,1801,1951,2269,2437,2791,3169,3571,4219,4447,5167,5419,6211,7057,7351,8269,9241,10267,11719,12097,13267,13669,16651,19441,19927,22447,23497,24571,25117,26227,27361,33391	"
from sympy import isprime
def aupto(limit):
    alst, k, d = [], 1, 7
    while d <= limit:
        if isprime(d): alst.append(d)
        k += 1; d = 1+3*k*(k+1)
    return alst
print(aupto(34000)) 
"	"from sympy import isprime

def aupto(limit):
    (alst, k, d) = ([], 1, 7)
    while d <= limit:
        if isprime(d):
            alst.append(d)
        k += 1
        d = 1 + 3 * k * (k + 1)
    return alst
print(aupto(34000))"	"from sympy import isprime

def aupto(limit):
    (alst, k, d) = ([], 1, 7)
    while d <= limit:
        if isprime(d):
            alst.append(d)
        k += 1
        d = 1 + 3 * k * (k + 1)
    return alst
print(aupto(34000))"	"from sympy import isprime

def aupto(limit):
    (alst, k, d) = ([], 1, 7)
    while d <= limit:
        if isprime(d):
            alst.append(d)
        k += 1
        d = 1 + 3 * k * (k + 1)
    return alst
print(aupto(34000))"	"from sympy import isprime

def aupto(limit):
    (alst, k, d) = ([], 1, 7)
    while d <= limit:
        if isprime(d):
            alst.append(d)
        k += 1
        d = 1 + 3 * k * (k + 1)
    return alst
print(aupto(34000))"	"from sympy import isprime

def aupto(limit):
    (alst, k, d) = ([], 1, 7)
    while d <= limit:
        if isprime(d):
            alst.append(d)
        k += 1
        d = 1 + 3 * k * (k + 1)
    return alst
print(aupto(34000))"
A002779	Palindromic squares.	0,1,4,9,121,484,676,10201,12321,14641,40804,44944,69696,94249,698896,1002001,1234321,4008004,5221225,6948496,100020001,102030201,104060401,121242121,123454321,125686521,400080004,404090404,522808225	"
A002779_list = [int(s) for s in (str(m**2) for m in range(10**5)) if s == s[::-1]] 
"	A002779_list = [int(s) for s in (str(m ** 2) for m in range(10 ** 5)) if s == s[::-1]]	A002779_list = [int(s) for s in (str(m ** 2) for m in range(10 ** 5)) if s == s[::-1]]	A002779_list = [int(s) for s in (str(m ** 2) for m in range(10 ** 5)) if s == s[::-1]]	"A002779_list = {*()}
for s in (str(m ** 2) for m in range(10 ** 5)):
    if s == s[::-1]:A002779_list.append(int(s))"	"A002779_list = {*()}
for s in (str(m ** 2) for m in range(10 ** 5)):
    if s == s[::-1]:A002779_list.append(int(s))"
A002796	Numbers that are divisible by each nonzero digit.	1,2,3,4,5,6,7,8,9,10,11,12,15,20,22,24,30,33,36,40,44,48,50,55,60,66,70,77,80,88,90,99,100,101,102,104,105,110,111,112,115,120,122,124,126,128,132,135,140,144,150,155,162,168,175,184,200,202,204,208,210,212	"
A002796_list = []
for i in range(1,10**5):
    for d in set(str(i)):
        if d != '0' and i % int(d):
            break
    else:
        A002796_list.append(i) 
"	"A002796_list = []
for i in range(1, 10 ** 5):
    for d in set(str(i)):
        if d != '0' and i % int(d):
            break
    else:
        A002796_list.append(i)"	"A002796_list = []
sequence_iterator = iter(range(1, 10 ** 5))
while True:
    try:
        i = next(sequence_iterator)
        sequence_iterator = iter(set(str(i)))
        while True:
            try:
                d = next(sequence_iterator)
                if d != '0' and i % int(d):
                    break
            except StopIteration:
                break
    except StopIteration:
        break"	"A002796_list = []
sequence_iterator = iter(range(1, 10 ** 5))
while True:
    try:
        i = next(sequence_iterator)
        sequence_iterator = iter(set(str(i)))
        while True:
            try:
                d = next(sequence_iterator)
                if d != '0' and i % int(d):
                    break
            except StopIteration:
                break
    except StopIteration:
        break"	"A002796_list = []
sequence_iterator = iter(range(1, 10 ** 5))
while True:
    try:
        i = next(sequence_iterator)
        sequence_iterator = iter(set(str(i)))
        while True:
            try:
                d = next(sequence_iterator)
                if d != '0' and i % int(d):
                    break
            except StopIteration:
                break
    except StopIteration:
        break"	"A002796_list = []
sequence_iterator = iter(range(1, 10 ** 5))
while True:
    try:
        i = next(sequence_iterator)
        sequence_iterator = iter(set(str(i)))
        while True:
            try:
                d = next(sequence_iterator)
                if d != '0' and i % int(d):
                    break
            except StopIteration:
                break
    except StopIteration:
        break"
A003098	Palindromic triangular numbers.	0,1,3,6,55,66,171,595,666,3003,5995,8778,15051,66066,617716,828828,1269621,1680861,3544453,5073705,5676765,6295926,35133153,61477416,178727871,1264114621,1634004361,5289009825,6172882716,13953435931	"
A003098_list = [m for m in (n*(n+1)//2 for n in range(10**5)) if str(m) == str(m)[::-1]] 
"	A003098_list = [m for m in (n * (n + 1) // 2 for n in range(10 ** 5)) if str(m) == str(m)[::-1]]	A003098_list = [m for m in (n * (n + 1) // 2 for n in range(10 ** 5)) if str(m) == str(m)[::-1]]	A003098_list = [m for m in (n * (n + 1) // 2 for n in range(10 ** 5)) if str(m) == str(m)[::-1]]	"A003098_list = {*()}
for m in (n * (n + 1) // 2 for n in range(10 ** 5)):
    if str(m) == str(m)[::-1]:A003098_list.append(m)"	"A003098_list = {*()}
for m in (n * (n + 1) // 2 for n in range(10 ** 5)):
    if str(m) == str(m)[::-1]:A003098_list.append(m)"
A003132	Sum of squares of digits of n.	0,1,4,9,16,25,36,49,64,81,1,2,5,10,17,26,37,50,65,82,4,5,8,13,20,29,40,53,68,85,9,10,13,18,25,34,45,58,73,90,16,17,20,25,32,41,52,65,80,97,25,26,29,34,41,50,61,74,89,106,36,37,40,45,52,61,72,85,100,117,49	"
def A003132(n): return sum(int(d)**2 for d in str(n)) 
"	"def A003132(n):
    return sum((int(d) ** 2 for d in str(n)))"	"def A003132(n):
    return sum((int(d) ** 2 for d in str(n)))"	"def A003132(n):
    return sum((int(d) ** 2 for d in str(n)))"	"def A003132(n):
    return sum((int(d) ** 2 for d in str(n)))"	"def A003132(n):
    return sum((int(d) ** 2 for d in str(n)))"
A003325	Numbers that are the sum of 2 positive cubes.	2,9,16,28,35,54,65,72,91,126,128,133,152,189,217,224,243,250,280,341,344,351,370,407,432,468,513,520,539,559,576,637,686,728,730,737,756,793,854,855,945,1001,1008,1024,1027,1064,1072,1125,1216,1241,1332,1339,1343	"
from sympy import integer_nthroot
def aupto(lim):
  cubes = [i*i*i for i in range(1, integer_nthroot(lim-1, 3)[0] + 1)]
  sum_cubes = sorted([a+b for i, a in enumerate(cubes) for b in cubes[i:]])
  return [s for s in sum_cubes if s <= lim]
print(aupto(1343)) 
"	"from sympy import integer_nthroot

def aupto(lim):
    cubes = [i * i * i for i in range(1, integer_nthroot(lim - 1, 3)[0] + 1)]
    sum_cubes = sorted([a + b for (i, a) in enumerate(cubes) for b in cubes[i:]])
    return [s for s in sum_cubes if s <= lim]
print(aupto(1343))"	"from sympy import integer_nthroot

def aupto(lim):
    cubes = [i * i * i for i in range(1, integer_nthroot(lim - 1, 3)[0] + 1)]
    sum_cubes = sorted([a + b for (i, a) in enumerate(cubes) for b in cubes[i:]])
    return [s for s in sum_cubes if s <= lim]
print(aupto(1343))"	"from sympy import integer_nthroot

def aupto(lim):
    cubes = [i * i * i for i in range(1, integer_nthroot(lim - 1, 3)[0] + 1)]
    sum_cubes = sorted([a + b for (i, a) in enumerate(cubes) for b in cubes[i:]])
    return [s for s in sum_cubes if s <= lim]
print(aupto(1343))"	"from sympy import integer_nthroot

def aupto(lim):
    cubes = {*()}
    for i in range(1, integer_nthroot(lim - 1, 3)[0] + 1):cubes.append(i * i * i)
    sum_cubes = sorted([a + b for (i, a) in enumerate(cubes) for b in cubes[i:]])
    return [s for s in sum_cubes if s <= lim]
print(aupto(1343))"	"from sympy import integer_nthroot

def aupto(lim):
    cubes = {*()}
    for i in range(1, integer_nthroot(lim - 1, 3)[0] + 1):cubes.append(i * i * i)
    sum_cubes = sorted([a + b for (i, a) in enumerate(cubes) for b in cubes[i:]])
    return list((s for s in sum_cubes if s <= lim))
print(aupto(1343))"
A003328	Numbers that are the sum of 5 positive cubes.	5,12,19,26,31,33,38,40,45,52,57,59,64,68,71,75,78,82,83,89,90,94,96,97,101,108,109,115,116,120,127,129,131,134,135,136,138,143,145,146,150,152,153,155,157,162,164,169,171,172,176,181,183,188,190,192,194,195,199	"
from collections import Counter
from itertools import combinations_with_replacement as combs_w_rep
def aupto(lim):
  s = filter(lambda x: x<=lim, (i**3 for i in range(1, int(lim**(1/3))+2)))
  s2 = filter(lambda x: x<=lim, (sum(c) for c in combs_w_rep(s, 5)))
  s2counts = Counter(s2)
  return sorted(k for k in s2counts)
print(aupto(200)) 
"	"from collections import Counter
from itertools import combinations_with_replacement as combs_w_rep

def aupto(lim):
    s = [list_element for list_element in (i ** 3 for i in range(1, int(lim ** (1 / 3)) + 2)) if (lambda x: x <= lim)(list_element)]
    s2 = [list_element for list_element in (sum(c) for c in combs_w_rep(s, 5)) if (lambda x: x <= lim)(list_element)]
    s2counts = Counter(s2)
    return sorted((k for k in s2counts))
print(aupto(200))"	"from collections import Counter
from itertools import combinations_with_replacement as combs_w_rep

def aupto(lim):
    s = [list_element for list_element in (i ** 3 for i in range(1, int(lim ** (1 / 3)) + 2)) if (lambda x: x <= lim)(list_element)]
    s2 = [list_element for list_element in (sum(c) for c in combs_w_rep(s, 5)) if (lambda x: x <= lim)(list_element)]
    s2counts = Counter(s2)
    return sorted((k for k in s2counts))
print(aupto(200))"	"from collections import Counter
from itertools import combinations_with_replacement as combs_w_rep

def aupto(lim):
    s = [list_element for list_element in (i ** 3 for i in range(1, int(lim ** (1 / 3)) + 2)) if (lambda x: x <= lim)(list_element)]
    s2 = [list_element for list_element in (sum(c) for c in combs_w_rep(s, 5)) if (lambda x: x <= lim)(list_element)]
    s2counts = Counter(s2)
    return sorted((k for k in s2counts))
print(aupto(200))"	"from collections import Counter
from itertools import combinations_with_replacement as combs_w_rep

def aupto(lim):
    s = {*()}
    for list_element in (i ** 3 for i in range(1, int(lim ** (1 / 3)) + 2)):
        if (lambda x: x <= lim)(list_element):s.append(list_element)
    s2 = {*()}
    for list_element in (sum(c) for c in combs_w_rep(s, 5)):
        if (lambda x: x <= lim)(list_element):s2.append(list_element)
    s2counts = Counter(s2)
    return sorted((k for k in s2counts))
print(aupto(200))"	"from collections import Counter
from itertools import combinations_with_replacement as combs_w_rep

def aupto(lim):
    s = {*()}
    for list_element in (i ** 3 for i in range(1, int(lim ** (1 / 3)) + 2)):
        if (lambda x: x <= lim)(list_element):s.append(list_element)
    s2 = {*()}
    for list_element in (sum(c) for c in combs_w_rep(s, 5)):
        if (lambda x: x <= lim)(list_element):s2.append(list_element)
    s2counts = Counter(s2)
    return sorted((k for k in s2counts))
print(aupto(200))"
A003329	Numbers that are the sum of 6 positive cubes.	6,13,20,27,32,34,39,41,46,48,53,58,60,65,67,69,72,76,79,83,84,86,90,91,95,97,98,102,104,105,109,110,116,117,121,123,124,128,130,132,135,136,137,139,142,143,144,146,147,151,153,154,156,158,160,161,162,163,165,170	"
from collections import Counter
from itertools import combinations_with_replacement as multi_combs
def aupto(lim):
  c = filter(lambda x: x<=lim, (i**3 for i in range(1, int(lim**(1/3))+2)))
  s = filter(lambda x: x<=lim, (sum(mc) for mc in multi_combs(c, 6)))
  counts = Counter(s)
  return sorted(k for k in counts)
print(aupto(170)) 
"	"from collections import Counter
from itertools import combinations_with_replacement as multi_combs

def aupto(lim):
    c = [list_element for list_element in (i ** 3 for i in range(1, int(lim ** (1 / 3)) + 2)) if (lambda x: x <= lim)(list_element)]
    s = [list_element for list_element in (sum(mc) for mc in multi_combs(c, 6)) if (lambda x: x <= lim)(list_element)]
    counts = Counter(s)
    return sorted((k for k in counts))
print(aupto(170))"	"from collections import Counter
from itertools import combinations_with_replacement as multi_combs

def aupto(lim):
    c = [list_element for list_element in (i ** 3 for i in range(1, int(lim ** (1 / 3)) + 2)) if (lambda x: x <= lim)(list_element)]
    s = [list_element for list_element in (sum(mc) for mc in multi_combs(c, 6)) if (lambda x: x <= lim)(list_element)]
    counts = Counter(s)
    return sorted((k for k in counts))
print(aupto(170))"	"from collections import Counter
from itertools import combinations_with_replacement as multi_combs

def aupto(lim):
    c = [list_element for list_element in (i ** 3 for i in range(1, int(lim ** (1 / 3)) + 2)) if (lambda x: x <= lim)(list_element)]
    s = [list_element for list_element in (sum(mc) for mc in multi_combs(c, 6)) if (lambda x: x <= lim)(list_element)]
    counts = Counter(s)
    return sorted((k for k in counts))
print(aupto(170))"	"from collections import Counter
from itertools import combinations_with_replacement as multi_combs

def aupto(lim):
    c = {*()}
    for list_element in (i ** 3 for i in range(1, int(lim ** (1 / 3)) + 2)):
        if (lambda x: x <= lim)(list_element):c.append(list_element)
    s = {*()}
    for list_element in (sum(mc) for mc in multi_combs(c, 6)):
        if (lambda x: x <= lim)(list_element):s.append(list_element)
    counts = Counter(s)
    return sorted((k for k in counts))
print(aupto(170))"	"from collections import Counter
from itertools import combinations_with_replacement as multi_combs

def aupto(lim):
    c = {*()}
    for list_element in (i ** 3 for i in range(1, int(lim ** (1 / 3)) + 2)):
        if (lambda x: x <= lim)(list_element):c.append(list_element)
    s = {*()}
    for list_element in (sum(mc) for mc in multi_combs(c, 6)):
        if (lambda x: x <= lim)(list_element):s.append(list_element)
    counts = Counter(s)
    return sorted((k for k in counts))
print(aupto(170))"
A003331	Numbers that are the sum of 8 positive cubes.	8,15,22,29,34,36,41,43,48,50,55,57,60,62,64,67,69,71,74,76,78,81,83,85,86,88,92,93,95,97,99,100,102,104,106,107,111,112,113,114,118,119,120,121,123,125,126,130,132,133,134,137,138,139,140,141,144,145,146,148,149	"
from itertools import combinations_with_replacement as mc
def aupto(lim):
    cbs = (i**3 for i in range(1, int((lim-7)**(1/3))+2))
    return sorted(set(k for k in (sum(c) for c in mc(cbs, 8)) if k <= lim))
print(aupto(150)) 
"	"from itertools import combinations_with_replacement as mc

def aupto(lim):
    cbs = (i ** 3 for i in range(1, int((lim - 7) ** (1 / 3)) + 2))
    return sorted(set((k for k in (sum(c) for c in mc(cbs, 8)) if k <= lim)))
print(aupto(150))"	"from itertools import combinations_with_replacement as mc

def aupto(lim):
    cbs = (i ** 3 for i in range(1, int((lim - 7) ** (1 / 3)) + 2))
    return sorted(set((k for k in (sum(c) for c in mc(cbs, 8)) if k <= lim)))
print(aupto(150))"	"from itertools import combinations_with_replacement as mc

def aupto(lim):
    cbs = (i ** 3 for i in range(1, int((lim - 7) ** (1 / 3)) + 2))
    return sorted(set((k for k in (sum(c) for c in mc(cbs, 8)) if k <= lim)))
print(aupto(150))"	"from itertools import combinations_with_replacement as mc

def aupto(lim):
    cbs = (i ** 3 for i in range(1, int((lim - 7) ** (1 / 3)) + 2))
    return sorted(set((k for k in (sum(c) for c in mc(cbs, 8)) if k <= lim)))
print(aupto(150))"	"from itertools import combinations_with_replacement as mc

def aupto(lim):
    cbs = (i ** 3 for i in range(1, int((lim - 7) ** (1 / 3)) + 2))
    return sorted(set((k for k in (sum(c) for c in mc(cbs, 8)) if k <= lim)))
print(aupto(150))"
A003336	Numbers that are the sum of 2 positive 4th powers.	2,17,32,82,97,162,257,272,337,512,626,641,706,881,1250,1297,1312,1377,1552,1921,2402,2417,2482,2592,2657,3026,3697,4097,4112,4177,4352,4721,4802,5392,6497,6562,6577,6642,6817,7186,7857,8192,8962,10001,10016,10081,10256,10625	"
def aupto(lim):
  p1 = set(i**4 for i in range(1, int(lim**.25)+2) if i**4 <= lim)
  p2 = set(a+b for a in p1 for b in p1 if a+b <= lim)
  return sorted(p2)
print(aupto(10625)) 
"	"def aupto(lim):
    p1 = set((i ** 4 for i in range(1, int(lim ** 0.25) + 2) if i ** 4 <= lim))
    p2 = set((a + b for a in p1 for b in p1 if a + b <= lim))
    return sorted(p2)
print(aupto(10625))"	"def aupto(lim):
    p1 = set((i ** 4 for i in range(1, int(lim ** 0.25) + 2) if i ** 4 <= lim))
    p2 = set((a + b for a in p1 for b in p1 if a + b <= lim))
    return sorted(p2)
print(aupto(10625))"	"def aupto(lim):
    p1 = set((i ** 4 for i in range(1, int(lim ** 0.25) + 2) if i ** 4 <= lim))
    p2 = set((a + b for a in p1 for b in p1 if a + b <= lim))
    return sorted(p2)
print(aupto(10625))"	"def aupto(lim):
    p1 = set((i ** 4 for i in range(1, int(lim ** 0.25) + 2) if i ** 4 <= lim))
    p2 = set((a + b for a in p1 for b in p1 if a + b <= lim))
    return sorted(p2)
print(aupto(10625))"	"def aupto(lim):
    p1 = {i ** 4 for i in range(1, int(lim ** 0.25) + 2) if i ** 4 <= lim}
    p2 = {a + b for a in p1 for b in p1 if a + b <= lim}
    return sorted(p2)
print(aupto(10625))"
A003337	Numbers n which are the sum of 3 nonzero 4th powers.	3,18,33,48,83,98,113,163,178,243,258,273,288,338,353,418,513,528,593,627,642,657,707,722,768,787,882,897,962,1137,1251,1266,1298,1313,1328,1331,1378,1393,1458,1506,1553,1568,1633,1808,1875,1922,1937,2002,2177	"
def aupto(lim):
  p1 = set(i**4 for i in range(1, int(lim**.25)+2) if i**4 <= lim)
  p2 = set(a+b for a in p1 for b in p1 if a+b <= lim)
  p3 = set(apb+c for apb in p2 for c in p1 if apb+c <= lim)
  return sorted(p3)
print(aupto(2400)) 
"	"def aupto(lim):
    p1 = set((i ** 4 for i in range(1, int(lim ** 0.25) + 2) if i ** 4 <= lim))
    p2 = set((a + b for a in p1 for b in p1 if a + b <= lim))
    p3 = set((apb + c for apb in p2 for c in p1 if apb + c <= lim))
    return sorted(p3)
print(aupto(2400))"	"def aupto(lim):
    p1 = set((i ** 4 for i in range(1, int(lim ** 0.25) + 2) if i ** 4 <= lim))
    p2 = set((a + b for a in p1 for b in p1 if a + b <= lim))
    p3 = set((apb + c for apb in p2 for c in p1 if apb + c <= lim))
    return sorted(p3)
print(aupto(2400))"	"def aupto(lim):
    p1 = set((i ** 4 for i in range(1, int(lim ** 0.25) + 2) if i ** 4 <= lim))
    p2 = set((a + b for a in p1 for b in p1 if a + b <= lim))
    p3 = set((apb + c for apb in p2 for c in p1 if apb + c <= lim))
    return sorted(p3)
print(aupto(2400))"	"def aupto(lim):
    p1 = set((i ** 4 for i in range(1, int(lim ** 0.25) + 2) if i ** 4 <= lim))
    p2 = set((a + b for a in p1 for b in p1 if a + b <= lim))
    p3 = set((apb + c for apb in p2 for c in p1 if apb + c <= lim))
    return sorted(p3)
print(aupto(2400))"	"def aupto(lim):
    p1 = {i ** 4 for i in range(1, int(lim ** 0.25) + 2) if i ** 4 <= lim}
    p2 = {a + b for a in p1 for b in p1 if a + b <= lim}
    p3 = {apb + c for apb in p2 for c in p1 if apb + c <= lim}
    return sorted(p3)
print(aupto(2400))"
A003338	Numbers that are the sum of 4 nonzero 4th powers.	4,19,34,49,64,84,99,114,129,164,179,194,244,259,274,289,304,324,339,354,369,419,434,499,514,529,544,594,609,628,643,658,673,674,708,723,738,769,784,788,803,849,868,883,898,913,963,978,1024,1043,1138,1153,1218	"
limit = 1218
from functools import lru_cache
qd = [k**4 for k in range(1, int(limit**.25)+2) if k**4 + 3 <= limit]
qds = set(qd)
@lru_cache(maxsize=None)
def findsums(n, m):
  if m == 1: return {(n, )} if n in qds else set()
  return set(tuple(sorted(t+(q,))) for q in qds for t in findsums(n-q, m-1))
print([n for n in range(4, limit+1) if len(findsums(n, 4)) >= 1]) 
"	"limit = 1218
from functools import lru_cache
qd = [k ** 4 for k in range(1, int(limit ** 0.25) + 2) if k ** 4 + 3 <= limit]
qds = set(qd)

@lru_cache(maxsize=None)
def findsums(n, m):
    if m == 1:
        return {(n,)} if n in qds else set()
    return set((tuple(sorted(t + (q,))) for q in qds for t in findsums(n - q, m - 1)))
print([n for n in range(4, limit + 1) if len(findsums(n, 4)) >= 1])"	"limit = 1218
from functools import lru_cache
qd = [k ** 4 for k in range(1, int(limit ** 0.25) + 2) if k ** 4 + 3 <= limit]
qds = set(qd)

@lru_cache(maxsize=None)
def findsums(n, m):
    if m == 1:
        return {(n,)} if n in qds else set()
    return set((tuple(sorted(t + (q,))) for q in qds for t in findsums(n - q, m - 1)))
print([n for n in range(4, limit + 1) if len(findsums(n, 4)) >= 1])"	"limit = 1218
from functools import lru_cache
qd = [k ** 4 for k in range(1, int(limit ** 0.25) + 2) if k ** 4 + 3 <= limit]
qds = set(qd)

@lru_cache(maxsize=None)
def findsums(n, m):
    if m == 1:
        return {(n,)} if n in qds else set()
    return set((tuple(sorted(t + (q,))) for q in qds for t in findsums(n - q, m - 1)))
print([n for n in range(4, limit + 1) if len(findsums(n, 4)) >= 1])"	"limit = 1218
from functools import lru_cache
qd = {*()}
for k in range(1, int(limit ** 0.25) + 2):
    if k ** 4 + 3 <= limit:qd.append(k ** 4)
qds = set(qd)

@lru_cache(maxsize=None)
def findsums(n, m):
    if m == 1:
        return {(n,)} if n in qds else set()
    return set((tuple(sorted(t + (q,))) for q in qds for t in findsums(n - q, m - 1)))
print([n for n in range(4, limit + 1) if len(findsums(n, 4)) >= 1])"	"limit = 1218
from functools import lru_cache
qd = {*()}
for k in range(1, int(limit ** 0.25) + 2):
    if k ** 4 + 3 <= limit:qd.append(k ** 4)
qds = set(qd)

@lru_cache(maxsize=None)
def findsums(n, m):
    if m == 1:
        return {(n,)} if n in qds else set()
    return {tuple(sorted(t + (q,))) for q in qds for t in findsums(n - q, m - 1)}
print([n for n in range(4, limit + 1) if len(findsums(n, 4)) >= 1])"
A003339	Numbers that are the sum of 5 positive 4th powers.	5,20,35,50,65,80,85,100,115,130,145,165,180,195,210,245,260,275,290,305,320,325,340,355,370,385,405,420,435,450,500,515,530,545,560,580,595,610,625,629,644,659,674,675,689,690,709,724,739,754,755,770,785,789,800	"
from itertools import combinations_with_replacement as combs_with_rep
def aupto(limit):
  qd = [k**4 for k in range(1, int(limit**.25)+2) if k**4 + 4 <= limit]
  ss = set(sum(c) for c in combs_with_rep(qd, 5))
  return sorted(s for s in ss if s <= limit)
print(aupto(800)) 
"	"from itertools import combinations_with_replacement as combs_with_rep

def aupto(limit):
    qd = [k ** 4 for k in range(1, int(limit ** 0.25) + 2) if k ** 4 + 4 <= limit]
    ss = set((sum(c) for c in combs_with_rep(qd, 5)))
    return sorted((s for s in ss if s <= limit))
print(aupto(800))"	"from itertools import combinations_with_replacement as combs_with_rep

def aupto(limit):
    qd = [k ** 4 for k in range(1, int(limit ** 0.25) + 2) if k ** 4 + 4 <= limit]
    ss = set((sum(c) for c in combs_with_rep(qd, 5)))
    return sorted((s for s in ss if s <= limit))
print(aupto(800))"	"from itertools import combinations_with_replacement as combs_with_rep

def aupto(limit):
    qd = [k ** 4 for k in range(1, int(limit ** 0.25) + 2) if k ** 4 + 4 <= limit]
    ss = set((sum(c) for c in combs_with_rep(qd, 5)))
    return sorted((s for s in ss if s <= limit))
print(aupto(800))"	"from itertools import combinations_with_replacement as combs_with_rep

def aupto(limit):
    qd = {*()}
    for k in range(1, int(limit ** 0.25) + 2):
        if k ** 4 + 4 <= limit:qd.append(k ** 4)
    ss = set((sum(c) for c in combs_with_rep(qd, 5)))
    return sorted((s for s in ss if s <= limit))
print(aupto(800))"	"from itertools import combinations_with_replacement as combs_with_rep

def aupto(limit):
    qd = {*()}
    for k in range(1, int(limit ** 0.25) + 2):
        if k ** 4 + 4 <= limit:qd.append(k ** 4)
    ss = {sum(c) for c in combs_with_rep(qd, 5)}
    return sorted((s for s in ss if s <= limit))
print(aupto(800))"
